project_accession	file_name	category	file_size_bytes	ftp_url	local_relative_path	license_status	redistribution_status	download_status
PXD053006	proteinGroups_20230221_QE_630_23FE22_AhnSM.txt	SEARCH	2013545	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD053006/proteinGroups_20230221_QE_630_23FE22_AhnSM.txt	raw/proteomics/PRIDE/PXD053006/proteinGroups_20230221_QE_630_23FE22_AhnSM.txt	license_unverified	blocked_until_reviewed	pending
PXD056955	FP_closed_all.zip	SEARCH	2023376	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PXD056955/FP_closed_all.zip	raw/proteomics/PRIDE/PXD056955/FP_closed_all.zip	license_unverified	blocked_until_reviewed	pending
PXD010558	20180515_QLL_YdeH_WT.xml	SEARCH	2041916	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD010558/20180515_QLL_YdeH_WT.xml	raw/proteomics/PRIDE/PXD010558/20180515_QLL_YdeH_WT.xml	license_unverified	blocked_until_reviewed	pending
PXD063732	250415_Control_spectrumMatch.csv	SEARCH	2046580	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PXD063732/250415_Control_spectrumMatch.csv	raw/proteomics/PRIDE/PXD063732/250415_Control_spectrumMatch.csv	license_unverified	blocked_until_reviewed	pending
PXD073367	combined_protein.tsv	SEARCH	2051345	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073367/combined_protein.tsv	raw/proteomics/PRIDE/PXD073367/combined_protein.tsv	license_unverified	blocked_until_reviewed	pending
PXD036832	protein.tsv.txt	SEARCH	2054227	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/05/PXD036832/protein.tsv.txt	raw/proteomics/PRIDE/PXD036832/protein.tsv.txt	license_unverified	blocked_until_reviewed	pending
PXD030283	Ack_DIA_data_analysis.zip	SEARCH	2067079	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD030283/Ack_DIA_data_analysis.zip	raw/proteomics/PRIDE/PXD030283/Ack_DIA_data_analysis.zip	license_unverified	blocked_until_reviewed	pending
PXD059118	20240721_A549_PropargylAzide_1xLabeling_Clicked_SEC_HighpH_CLAUDIO_Mapping.csv	SEARCH	2090750	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD059118/20240721_A549_PropargylAzide_1xLabeling_Clicked_SEC_HighpH_CLAUDIO_Mapping.csv	raw/proteomics/PRIDE/PXD059118/20240721_A549_PropargylAzide_1xLabeling_Clicked_SEC_HighpH_CLAUDIO_Mapping.csv	license_unverified	blocked_until_reviewed	pending
PXD000541	E.coliat80minafterAwshift-MEM-Rep2.prot.xml	SEARCH	2107883	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000541/E.coliat80minafterAwshift-MEM-Rep2.prot.xml	raw/proteomics/PRIDE/PXD000541/E.coliat80minafterAwshift-MEM-Rep2.prot.xml	license_unverified	blocked_until_reviewed	pending
PXD035278	OpenSWATH_pep_results_samples_P_S.csv	SEARCH	2108549	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD035278/OpenSWATH_pep_results_samples_P_S.csv	raw/proteomics/PRIDE/PXD035278/OpenSWATH_pep_results_samples_P_S.csv	license_unverified	blocked_until_reviewed	pending
