run_accession	study_accession	strain_guess	data_tier	omics_type	url	md5	bytes	local_relative_path	license_status	redistribution_status	download_status
SRR8239843	PRJNA506724	MG1655	L1_core_candidate	translatomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR823/003/SRR8239843/SRR8239843.fastq.gz	ab55c3a21a50ac343df9fbea0de9518e	161997054	raw/sequencing/MG1655/SRR8239843/SRR8239843.fastq.gz	license_unverified	blocked_until_reviewed	pending
ERR10313822	PRJEB56508	MG1655	L1_core_candidate	translatomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/022/ERR10313822/ERR10313822_2.fastq.gz	2d1b51c0a982544d6a8660d1750024d3	82629918	raw/sequencing/MG1655/ERR10313822/ERR10313822_2.fastq.gz	license_unverified	blocked_until_reviewed	pending
ERR10313822	PRJEB56508	MG1655	L1_core_candidate	translatomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/022/ERR10313822/ERR10313822_1.fastq.gz	19d6d775d824cfeadfc3a4043fffe4bb	99417205	raw/sequencing/MG1655/ERR10313822/ERR10313822_1.fastq.gz	license_unverified	blocked_until_reviewed	pending
ERR10313823	PRJEB56508	MG1655	L1_core_candidate	translatomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/023/ERR10313823/ERR10313823_2.fastq.gz	6c6e2780e775e2f96595ecdb1d05b31f	83091930	raw/sequencing/MG1655/ERR10313823/ERR10313823_2.fastq.gz	license_unverified	blocked_until_reviewed	pending
ERR10313823	PRJEB56508	MG1655	L1_core_candidate	translatomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/023/ERR10313823/ERR10313823_1.fastq.gz	ff2a7cc65658b462c69dfd4d3777ffeb	100985950	raw/sequencing/MG1655/ERR10313823/ERR10313823_1.fastq.gz	license_unverified	blocked_until_reviewed	pending
SRR8239840	PRJNA506724	MG1655	L1_core_candidate	translatomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR823/000/SRR8239840/SRR8239840.fastq.gz	58d5cc6892314e0ef39f2f912682212f	212622914	raw/sequencing/MG1655/SRR8239840/SRR8239840.fastq.gz	license_unverified	blocked_until_reviewed	pending
SRR24906745	PRJNA983255	MG1655	L1_core_candidate	translatomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/045/SRR24906745/SRR24906745_1.fastq.gz	f910b7c1018703c1f160ddf0b24c4e13	264934004	raw/sequencing/MG1655/SRR24906745/SRR24906745_1.fastq.gz	license_unverified	blocked_until_reviewed	pending
SRR24906745	PRJNA983255	MG1655	L1_core_candidate	translatomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/045/SRR24906745/SRR24906745_2.fastq.gz	1269d4a0bcb078a12a4d2605790e6baf	264935268	raw/sequencing/MG1655/SRR24906745/SRR24906745_2.fastq.gz	license_unverified	blocked_until_reviewed	pending
