selection_rank	run_accession	study_accession	sample_accession	scientific_name	strain_guess	data_tier	library_strategy	library_source	omics_type	omics_confidence	needs_manual_review	fastq_bytes	read_count	base_count	selection_reason	license_status	redistribution_status	download_status
1	ERR16065915	PRJEB106113	SAMEA120865863	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ATAC-seq	GENOMIC	chromatin_accessibility	0.820	0	248242317	8979370	332864852	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
2	ERR16065900	PRJEB106113	SAMEA120865859	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ATAC-seq	GENOMIC	chromatin_accessibility	0.820	0	255498754	8288288	307271325	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
3	SRR32574241	PRJNA1231458	SAMN47223696	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	Tn-Seq	GENOMIC	functional_genomics	0.880	0	36033137	994472	68618568	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
4	ERR10451679	PRJEB57220	SAMEA111539327	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	Tn-Seq	GENOMIC	functional_genomics	0.880	0	36399081	1363327	101685609	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
5	ERR10451700	PRJEB57220	SAMEA111539348	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	Tn-Seq	GENOMIC	functional_genomics	0.880	0	36998572	1310044	97724765	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
6	SRR32574240	PRJNA1231458	SAMN47223697	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	Tn-Seq	GENOMIC	functional_genomics	0.880	0	41868560	1128662	77877678	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
7	ERR4318946	PRJEB39237	SAMEA7039649	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	Tn-Seq	GENOMIC	functional_genomics	0.880	0	47196640	1399648	79392836	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
8	SRR15699959	PRJNA759279	SAMN21206503	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	Tn-Seq	GENOMIC	functional_genomics	0.880	0	48185045	1009595	161535200	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
9	ERR4318947	PRJEB39237	SAMEA7039650	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	Tn-Seq	GENOMIC	functional_genomics	0.880	0	51315307	1690734	97506461	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
10	SRR27713704	PRJNA1067728	SAMN39550286	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	WGA	GENOMIC SINGLE CELL	genomics	0.820	0	177191032	1478360	440551280	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
11	SRR27713726	PRJNA1067728	SAMN39550267	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	WGA	GENOMIC SINGLE CELL	genomics	0.820	0	193009750	1604687	478196726	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
12	ERR1748564	PRJEB18430	SAMEA20146168	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	WGS	GENOMIC	genomics	0.820	0	21210992	116851	36052668	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
13	ERR1748466	PRJEB18430	SAMEA20072668	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	WGS	GENOMIC	genomics	0.820	0	21280574	115127	33881649	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
14	SRR029319	PRJNA40075	SAMN00013323	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	WGS	GENOMIC	genomics	0.820	0	21534577	112841	29545923	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
15	SRR16264714	PRJNA769733	SAMN22168676	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	Bisulfite-Seq	GENOMIC	methylomics	0.820	0	450666919	3007118	903263700	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
16	ERR3578245	PRJEB34734	SAMEA5996554	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	Bisulfite-Seq	GENOMIC	methylomics	0.820	0	466437866	11588900	846755332	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
17	ERR3578247	PRJEB34734	SAMEA5996554	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	Bisulfite-Seq	GENOMIC	methylomics	0.820	0	472730571	11723107	856495181	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
18	SRR5057768	PRJNA317321	SAMN06064266	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	OTHER	GENOMIC	methylomics	0.800	0	45380151	1452810	72640500	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
19	SRR3086961	PRJNA258521	SAMN02999461	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ChIP-Seq	GENOMIC	regulomics	0.880	0	29320402	926613	46190270	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
20	SRR1168161	PRJNA238007	SAMN02640328	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ChIP-Seq	GENOMIC	regulomics	0.880	0	30137304	1241753	38494343	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
21	SRR1168162	PRJNA238007	SAMN02640333	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ChIP-Seq	GENOMIC	regulomics	0.880	0	31389475	1287930	39925830	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
22	ERR4314149	PRJEB39185	SAMEA7034801	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ChIP-Seq	GENOMIC	regulomics	0.880	0	31905678	934224	47645424	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
23	SRR30780364	PRJNA949415	SAMN33943310	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ChIP-Seq	GENOMIC	regulomics	0.880	0	32473041	598384	51751275	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
24	SRR1145019	PRJNA236560	SAMN02596576	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ChIP-Seq	GENOMIC	regulomics	0.880	0	32759736	769846	37738240	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
25	ERR4314150	PRJEB39185	SAMEA7034801	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ChIP-Seq	GENOMIC	regulomics	0.880	0	33075807	958641	48890691	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
26	SRR25268175	PRJNA881952	SAMN36439372	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	OTHER	OTHER	regulomics	0.800	0	21741645	340842	102934284	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
27	SRR25715295	PRJNA1007675	SAMN37099077	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	RIP-Seq	TRANSCRIPTOMIC	regulomics	0.820	0	80061281	1827775	202883025	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
28	SRR25715321	PRJNA1007675	SAMN37099103	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	RIP-Seq	TRANSCRIPTOMIC	regulomics	0.820	0	83904986	1900925	211002675	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
29	SRR33380731	PRJNA1256936	SAMN48209711	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	RIP-Seq	GENOMIC	regulomics	0.820	0	87953497	1138513	176690291	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
30	SRR21765562	PRJNA885782	SAMN31104503	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	Hi-C	GENOMIC	structural_genomics	0.820	0	284782302	5387711	581104827	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
31	SRR21765563	PRJNA885782	SAMN31104503	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	Hi-C	GENOMIC	structural_genomics	0.820	0	310270384	5735720	633094639	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
32	SRR191810	PRJNA80049	SAMN00262643	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	EST	TRANSCRIPTOMIC	transcriptomics	0.820	0	212844583	8164178	293910408	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
33	SRR19643127	PRJNA848841	SAMN29018065	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	RNA-Seq	TRANSCRIPTOMIC	transcriptomics	0.880	0	21610191	141922	42860444	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
34	SRR19643712	PRJNA848841	SAMN29017882	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	RNA-Seq	TRANSCRIPTOMIC	transcriptomics	0.880	0	23378989	148204	44757608	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
35	SRR933990	PRJNA211882	SAMN02231976	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	RNA-Seq	TRANSCRIPTOMIC	transcriptomics	0.880	0	42274731	1080879	53733550	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
36	ERR3801417	PRJEB36111	SAMEA6460731	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	RNA-Seq	TRANSCRIPTOMIC	transcriptomics	0.880	0	42340837	1231634	93604184	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
37	SRR10775297	PRJNA597883	SAMN13689801	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	RNA-Seq	TRANSCRIPTOMIC	transcriptomics	0.880	0	44793210	1587857	69865708	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
38	SRR1755074	PRJNA272529	SAMN03283208	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	RNA-Seq	OTHER	transcriptomics	0.880	0	45159407	234532	70828664	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
39	ERR5621448	PRJEB42756	SAMEA8457236	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	RNA-Seq	TRANSCRIPTOMIC	transcriptomics	0.880	0	48135350	1621009	82071370	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
40	SRR3229310	PRJNA315378	SAMN04557756	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	RNA-Seq	TRANSCRIPTOMIC	transcriptomics	0.880	0	48510766	1813621	91375191	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
41	SRR38227325	PRJNA1456594	SAMN57412836	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ncRNA-Seq	TRANSCRIPTOMIC	transcriptomics	0.820	0	27613736	1305025	128735654	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
42	SRR38227324	PRJNA1456594	SAMN57412836	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ncRNA-Seq	TRANSCRIPTOMIC	transcriptomics	0.820	0	28005931	1337280	131926911	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
43	SRR22879220	PRJNA915474	SAMN32386871	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ncRNA-Seq	TRANSCRIPTOMIC	transcriptomics	0.820	0	32770549	917604	40544909	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
44	ERR6575019	PRJEB42756	SAMEA9554943	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ssRNA-seq	TRANSCRIPTOMIC	transcriptomics	0.820	0	100585535	3288526	166343839	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
45	ERR2534359	PRJEB26394	SAMEA4609127	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ssRNA-seq	TRANSCRIPTOMIC	transcriptomics	0.820	0	180461527	6365908	420149928	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
46	ERR2534368	PRJEB26394	SAMEA4609136	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ssRNA-seq	TRANSCRIPTOMIC	transcriptomics	0.820	0	196599187	5816824	442078624	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
