run_accession	study_accession	strain_guess	data_tier	omics_type	url	md5	bytes	local_relative_path	license_status	redistribution_status	download_status
ERR16065916	PRJEB106113	MG1655	L1_core_candidate	chromatin_accessibility	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/016/ERR16065916/ERR16065916_1.fastq.gz	1d9b80470526f3731a7f053832cc8c34	114547315	raw/sequencing/MG1655/ERR16065916/ERR16065916_1.fastq.gz	license_unverified	blocked_until_reviewed	pending
ERR16065916	PRJEB106113	MG1655	L1_core_candidate	chromatin_accessibility	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/016/ERR16065916/ERR16065916_2.fastq.gz	76eaa4a290ca9359f4d137369467f53f	125076000	raw/sequencing/MG1655/ERR16065916/ERR16065916_2.fastq.gz	license_unverified	blocked_until_reviewed	pending
ERR16065914	PRJEB106113	MG1655	L1_core_candidate	chromatin_accessibility	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/014/ERR16065914/ERR16065914_1.fastq.gz	891d48cacef1f192bab7324b47c06ccd	117765293	raw/sequencing/MG1655/ERR16065914/ERR16065914_1.fastq.gz	license_unverified	blocked_until_reviewed	pending
ERR16065914	PRJEB106113	MG1655	L1_core_candidate	chromatin_accessibility	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR160/014/ERR16065914/ERR16065914_2.fastq.gz	72f1093832dab169549edaca6416b4aa	128416042	raw/sequencing/MG1655/ERR16065914/ERR16065914_2.fastq.gz	license_unverified	blocked_until_reviewed	pending
ERR10451692	PRJEB57220	MG1655	L1_core_candidate	functional_genomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/092/ERR10451692/ERR10451692.fastq.gz	b728610823d97d507ad9bb4d1f4027a5	28499321	raw/sequencing/MG1655/ERR10451692/ERR10451692.fastq.gz	license_unverified	blocked_until_reviewed	pending
SRR32574243	PRJNA1231458	MG1655	L1_core_candidate	functional_genomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/043/SRR32574243/SRR32574243.fastq.gz	21d37f751524bbdfca4cbd6619cc906d	30217947	raw/sequencing/MG1655/SRR32574243/SRR32574243.fastq.gz	license_unverified	blocked_until_reviewed	pending
ERR10451693	PRJEB57220	MG1655	L1_core_candidate	functional_genomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/093/ERR10451693/ERR10451693.fastq.gz	0e822015df92c5137a3e5b126acb1ef2	35381760	raw/sequencing/MG1655/ERR10451693/ERR10451693.fastq.gz	license_unverified	blocked_until_reviewed	pending
SRR32574242	PRJNA1231458	MG1655	L1_core_candidate	functional_genomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/042/SRR32574242/SRR32574242.fastq.gz	97d8733a6e038a5b56b71a677e5b2e35	35764396	raw/sequencing/MG1655/SRR32574242/SRR32574242.fastq.gz	license_unverified	blocked_until_reviewed	pending
ERR4318899	PRJEB39237	MG1655	L1_core_candidate	functional_genomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4318899/ERR4318899.fastq.gz	e3005d7525645800fcb1f7126f6315c8	39112607	raw/sequencing/MG1655/ERR4318899/ERR4318899.fastq.gz	license_unverified	blocked_until_reviewed	pending
SRR10484471	PRJNA590248	MG1655	L1_core_candidate	functional_genomics	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/071/SRR10484471/SRR10484471.fastq.gz	536a92e0137df8f9b7873d19c3bfa79f	41816013	raw/sequencing/MG1655/SRR10484471/SRR10484471.fastq.gz	license_unverified	blocked_until_reviewed	pending
