selection_rank	run_accession	study_accession	sample_accession	scientific_name	strain_guess	data_tier	library_strategy	library_source	omics_type	omics_confidence	needs_manual_review	fastq_bytes	read_count	base_count	selection_reason	license_status	redistribution_status	download_status
23	SRR653522	PRJNA176149	SAMN01907001	Escherichia coli str. K-12 substr. MG1655star	MG1655	L1_core_candidate	ChIP-Seq	GENOMIC	regulomics	0.880	0	28201007	878466	30746310	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
24	SRR1168159	PRJNA238007	SAMN02640329	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ChIP-Seq	GENOMIC	regulomics	0.880	0	28298011	1100464	34114384	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
25	ERR16027350	PRJEB105423	SAMEA120821129	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ChIP-Seq	GENOMIC	regulomics	0.880	0	29058787	1086591	28251366	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
26	SRR12337223	PRJNA649104	SAMN15659517	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	RIP-Seq	TRANSCRIPTOMIC	regulomics	0.820	0	55132373	3378680	97362364	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
27	SRR12337222	PRJNA649104	SAMN15659518	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	RIP-Seq	TRANSCRIPTOMIC	regulomics	0.820	0	59391184	3705835	102832977	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
28	SRR25715294	PRJNA1007675	SAMN37099076	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	RIP-Seq	TRANSCRIPTOMIC	regulomics	0.820	0	59659176	1583903	175813233	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
29	SRR21765568	PRJNA885782	SAMN31104506	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	Hi-C	GENOMIC	structural_genomics	0.820	0	154881943	2933747	313979959	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
30	SRR21765569	PRJNA885782	SAMN31104506	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	Hi-C	GENOMIC	structural_genomics	0.820	0	165218473	4478697	337606257	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
31	SRR400618	PRJNA80049	SAMN00777070	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	EST	TRANSCRIPTOMIC	transcriptomics	0.820	0	210292032	13539459	487420524	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
32	ERR1547228	PRJEB10931	SAMEA4355105	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	RNA-Seq	TRANSCRIPTOMIC	transcriptomics	0.880	0	20979115	547310	40910517	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
33	SRR19643378	PRJNA848841	SAMN29017837	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	RNA-Seq	TRANSCRIPTOMIC	transcriptomics	0.880	0	21107945	123991	37445282	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
34	SRR19643139	PRJNA848841	SAMN29018033	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	RNA-Seq	TRANSCRIPTOMIC	transcriptomics	0.880	0	21246038	134801	40709902	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
35	SRR23750085	PRJNA942285	SAMN33684844	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	RNA-Seq	TRANSCRIPTOMIC	transcriptomics	0.880	0	21645196	116941	112465524	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
36	ERR3801416	PRJEB36111	SAMEA6460730	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	RNA-Seq	TRANSCRIPTOMIC	transcriptomics	0.880	0	25398723	746665	56746540	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
37	SRR23750086	PRJNA942285	SAMN33684842	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	RNA-Seq	TRANSCRIPTOMIC	transcriptomics	0.880	0	28146384	147914	143204359	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
38	ERR3801413	PRJEB36111	SAMEA6460727	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	RNA-Seq	TRANSCRIPTOMIC	transcriptomics	0.880	0	34460753	1011390	76865640	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
39	SRR1984300	PRJNA277981	SAMN03400798	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	RNA-Seq	TRANSCRIPTOMIC	transcriptomics	0.880	0	41432244	1599059	55967065	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
40	SRR22879221	PRJNA915474	SAMN32386872	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ncRNA-Seq	TRANSCRIPTOMIC	transcriptomics	0.820	0	21084550	608759	24836392	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
41	SRR38227385	PRJNA1456594	SAMN57412844	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ncRNA-Seq	TRANSCRIPTOMIC	transcriptomics	0.820	0	24119997	348778	105330956	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
42	SRR38227323	PRJNA1456594	SAMN57412836	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ncRNA-Seq	TRANSCRIPTOMIC	transcriptomics	0.820	0	27083695	1307013	128942269	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
43	ERR2534360	PRJEB26394	SAMEA4609128	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ssRNA-seq	TRANSCRIPTOMIC	transcriptomics	0.820	0	41132330	1133714	86162264	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
44	ERR6575017	PRJEB42756	SAMEA9554941	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ssRNA-seq	TRANSCRIPTOMIC	transcriptomics	0.820	0	74922812	2317479	117178741	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
45	ERR6575016	PRJEB42756	SAMEA9554940	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	ssRNA-seq	TRANSCRIPTOMIC	transcriptomics	0.820	0	87339479	2711147	137075004	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
