selection_rank	run_accession	study_accession	sample_accession	scientific_name	strain_guess	data_tier	library_strategy	library_source	omics_type	omics_confidence	needs_manual_review	fastq_bytes	read_count	base_count	selection_reason	license_status	redistribution_status	download_status
1	SRR8239843	PRJNA506724	SAMN10472881	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	OTHER	TRANSCRIPTOMIC	translatomics	0.800	0	161997054	7292603	546945225	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
2	ERR10313822	PRJEB56508	SAMEA111436934	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	OTHER	GENOMIC	translatomics	0.800	0	182047123	8847620	376503432	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
3	ERR10313823	PRJEB56508	SAMEA111436934	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	OTHER	GENOMIC	translatomics	0.800	0	184077880	8919266	379535096	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
4	SRR8239840	PRJNA506724	SAMN10472884	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	OTHER	TRANSCRIPTOMIC	translatomics	0.800	0	212622914	10115427	758657025	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
5	SRR24906745	PRJNA983255	SAMN35723147	Escherichia coli str. K-12 substr. MG1655	MG1655	L1_core_candidate	OTHER	GENOMIC	translatomics	0.800	0	529869272	9909621	1010781342	local_core_analysis_candidate_pending_study_terms	license_unverified	blocked_until_reviewed	pending
