project_accession	file_name	category	file_size_bytes	ftp_url	local_relative_path	license_status	redistribution_status	download_status
PXD067013	DTASelect-filter_TABLE_ExtendedDataTable1_TAB_SupplementaryDataset4_COLUMN_mrset2_heavy.txt	SEARCH	1050015	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD067013/DTASelect-filter_TABLE_ExtendedDataTable1_TAB_SupplementaryDataset4_COLUMN_mrset2_heavy.txt	raw/proteomics/PRIDE/PXD067013/DTASelect-filter_TABLE_ExtendedDataTable1_TAB_SupplementaryDataset4_COLUMN_mrset2_heavy.txt	license_unverified	blocked_until_reviewed	pending
PXD075198	PAO1_PeaksStudio_db.proteins.csv	SEARCH	1052280	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD075198/PAO1_PeaksStudio_db.proteins.csv	raw/proteomics/PRIDE/PXD075198/PAO1_PeaksStudio_db.proteins.csv	license_unverified	blocked_until_reviewed	pending
PXD060041	20240710_S_SBr_AID45212_PepMap_Med_01_IA_final_peptide.csv	SEARCH	1052386	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD060041/20240710_S_SBr_AID45212_PepMap_Med_01_IA_final_peptide.csv	raw/proteomics/PRIDE/PXD060041/20240710_S_SBr_AID45212_PepMap_Med_01_IA_final_peptide.csv	license_unverified	blocked_until_reviewed	pending
PXD076276	application_reports_report_90_base_model.protein_description.tsv	SEARCH	1053302	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/07/PXD076276/application_reports_report_90_base_model.protein_description.tsv	raw/proteomics/PRIDE/PXD076276/application_reports_report_90_base_model.protein_description.tsv	license_unverified	blocked_until_reviewed	pending
PXD018858	grouped_protein_summary_TMT_8.txt	SEARCH	1055121	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018858/grouped_protein_summary_TMT_8.txt	raw/proteomics/PRIDE/PXD018858/grouped_protein_summary_TMT_8.txt	license_unverified	blocked_until_reviewed	pending
PXD069521	fine_tuned_reduced_lib_replicat_1_30_report.pr_matrix.tsv	SEARCH	1055171	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD069521/fine_tuned_reduced_lib_replicat_1_30_report.pr_matrix.tsv	raw/proteomics/PRIDE/PXD069521/fine_tuned_reduced_lib_replicat_1_30_report.pr_matrix.tsv	license_unverified	blocked_until_reviewed	pending
PXD045738	S2_T_210423_dhesse_1_67977_HDMSe_IA_final_peptide.csv	SEARCH	1059721	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/07/PXD045738/S2_T_210423_dhesse_1_67977_HDMSe_IA_final_peptide.csv	raw/proteomics/PRIDE/PXD045738/S2_T_210423_dhesse_1_67977_HDMSe_IA_final_peptide.csv	license_unverified	blocked_until_reviewed	pending
PXD055093	DeamidationNQSitesE.txt	SEARCH	1061618	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PXD055093/DeamidationNQSitesE.txt	raw/proteomics/PRIDE/PXD055093/DeamidationNQSitesE.txt	license_unverified	blocked_until_reviewed	pending
PXD046392	QBP_XL_BS3_replicates_d0_withGlutamine.pep.xml	SEARCH	1062718	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD046392/QBP_XL_BS3_replicates_d0_withGlutamine.pep.xml	raw/proteomics/PRIDE/PXD046392/QBP_XL_BS3_replicates_d0_withGlutamine.pep.xml	license_unverified	blocked_until_reviewed	pending
PXD026488	DTASelect-filter_TABLE_S5_TAB_All_Proteins_COLUMN_run_2_heavy.txt	SEARCH	1065122	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD026488/DTASelect-filter_TABLE_S5_TAB_All_Proteins_COLUMN_run_2_heavy.txt	raw/proteomics/PRIDE/PXD026488/DTASelect-filter_TABLE_S5_TAB_All_Proteins_COLUMN_run_2_heavy.txt	license_unverified	blocked_until_reviewed	pending
PXD002688	Data020615_12.wiff.rawseq.csv	SEARCH	1065891	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002688/Data020615_12.wiff.rawseq.csv	raw/proteomics/PRIDE/PXD002688/Data020615_12.wiff.rawseq.csv	license_unverified	blocked_until_reviewed	pending
PXD008289	OR11_20160126_CMP_Ecoli_IMAC_1mg_80pc_evidence.txt	SEARCH	1066918	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/02/PXD008289/OR11_20160126_CMP_Ecoli_IMAC_1mg_80pc_evidence.txt	raw/proteomics/PRIDE/PXD008289/OR11_20160126_CMP_Ecoli_IMAC_1mg_80pc_evidence.txt	license_unverified	blocked_until_reviewed	pending
PXD008425	vial_A.percolator.peptides.tsv	SEARCH	1073647	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008425/vial_A.percolator.peptides.tsv	raw/proteomics/PRIDE/PXD008425/vial_A.percolator.peptides.tsv	license_unverified	blocked_until_reviewed	pending
